codigo,nome,descricao,status_produto,valor_unitario_total,fk_pedido_numero_do_pedido
1,"Plotagem Capô de Carro","Plotagem de capô de carro 50x30","em producao",120.00,PED0001
2,"Fachada de ACM","Fachada de ACM 2x1.5 metros","em producao",850.00,PED0001
3,"Plotagem de Lona","Plotagem em lona 1.50x0.80 metros","em producao",200.00,PED0002
4,"Adesivo Vinil","Adesivo Vinil para comunicação visual","em producao",150.00,PED0002
5,"Fachada de ACM","Fachada de ACM 3x2 metros","em producao",900.00,PED0003
6,"Adesivo Impressão Digital","Adesivo impresso em material digital 50x30","em producao",100.00,PED0004
7,"Plotagem de Carro","Plotagem personalizada 1.20x0.80 metros","em producao",250.00,PED0004
8,"Fachada de ACM","Fachada de ACM com acabamento de alta resistência","em producao",1100.00,PED0005
9,"Plotagem Banner","Banner impresso com design personalizado","em producao",220.00,PED0006
10,"Fachada Luminosa","Fachada luminosa em ACM 3x1 metros","em producao",1050.00,PED0007
11,"Adesivo Impressão Digital","Adesivo de impressão digital 80x60","em producao",150.00,PED0007
12,"Fachada de ACM","Fachada com acabamento detalhado em ACM 2x1.5 metros","em producao",1200.00,PED0008
13,"Plotagem de Lona","Plotagem em lona 2x1 metros","em producao",180.00,PED0009
14,"Fachada de Policarbonato","Fachada em policarbonato 2x2 metros","em producao",950.00,PED0009
15,"Plotagem de Carro","Plotagem para carro com adesivo vinil 1.5x0.80 metros","em producao",200.00,PED0010
16,"Fachada de ACM","Fachada de ACM 2.5x1.5 metros","em producao",1300.00,PED0011
17,"Adesivo Vinil","Adesivo vinil personalizado para loja","em producao",120.00,PED0011
18,"Plotagem de Lona","Plotagem de lona 1.5x1 metros","em producao",250.00,PED0012
19,"Fachada de ACM","Fachada com acabamento em alumínio composto 2.5x2 metros","em producao",1200.00,PED0013
20,"Plotagem de Carro","Plotagem do capô do carro 50x30","em producao",150.00,PED0014
21,"Adesivo Impressão Digital","Adesivo com impressão digital 1x0.5 metros","em producao",180.00,PED0014
22,"Fachada de ACM","Fachada luminosa de ACM 3x1 metros","em producao",1400.00,PED0015
23,"Plotagem de Lona","Plotagem de lona para fachada de loja 2x1 metros","em producao",220.00,PED0016
24,"Fachada de Policarbonato","Fachada em policarbonato 2x1 metros","em producao",1000.00,PED0017
25,"Plotagem Banner","Banner de lona 1.5x0.80 metros","em producao",170.00,PED0017
26,"Plotagem Capô de Carro","Plotagem de capô 50x30","em producao",120.00,PED0018
27,"Adesivo Vinil","Adesivo vinil para comunicação visual 1.5x0.5 metros","em producao",150.00,PED0018
28,"Fachada de ACM","Fachada de ACM 3x2 metros com acabamento sofisticado","em producao",1400.00,PED0019
29,"Plotagem de Lona","Plotagem de lona 2x1.5 metros para outdoor","em producao",230.00,PED0020
30,"Adesivo Impressão Digital","Adesivo impresso para fachada 1.5x0.8 metros","em producao",180.00,PED0020
31,"Fachada de Policarbonato","Fachada de policarbonato 2x2 metros","em producao",950.00,PED0021
32,"Plotagem de Carro","Plotagem de capô de carro 60x40","em producao",160.00,PED0021
33,"Fachada Luminosa","Fachada luminosa de ACM 2x1 metros","em producao",1200.00,PED0022
34,"Plotagem de Lona","Plotagem de lona 1.5x1 metros","em producao",220.00,PED0022
35,"Plotagem Banner","Banner impresso para evento 1.5x0.80 metros","em producao",250.00,PED0023
